ip_address,packets,traffic_in_bytes
157.240.209.63,16,12192
157.240.31.63,16,12192
57.144.150.192,16,12192
17.253.69.205,156,12168
23.62.20.79,70,12105
216.239.38.21,38,12077
fe80::ca7:3c49:21f0:240f,92,11823
172.224.180.8,16,11760
fe80::4c1:291e:f7eb:572e,105,11720
172.224.110.13,15,11682
18.173.117.231,31,11630
172.224.111.5,14,11604
151.101.66.132,28,11573
17.253.71.133,148,11544
124.146.153.151,26,11506
124.146.153.164,28,11446
3.169.182.161,27,11342
34.110.200.237,13,11286
216.239.36.223,18,11283
17.253.69.199,143,11154
34.36.216.150,33,11133
18.177.227.174,31,11123
157.240.209.16,15,10898
35.212.40.129,30,10661
17.253.71.127,7,10632
17.253.71.65,7,10632
17.248.167.40,18,10602
17.253.69.201,135,10514
57.144.150.1,15,10482
108.139.10.104,32,10376
17.253.69.203,133,10374
147.92.146.138,50,10322
17.253.71.147,132,10296
178.249.213.26,29,10242
17.253.71.131,60,10163
fe80::1427:ab45:78c1:8045,100,10144
142.250.194.106,37,10129
17.253.69.195,129,10062
17.253.71.136,129,10062
23.52.128.17,127,9906
fe80::4ec:c184:ed7c:a269,93,9880
210.161.21.14,21,9865
fe80::1033:ea9f:5050:e2de,95,9786
57.144.152.141,14,9604
17.253.69.208,123,9594
17.57.145.132,67,9195
17.253.69.206,115,8970
17.248.167.52,16,8791
216.239.32.112,116,8632
182.161.74.47,26,8465
104.18.22.232,130,8404
17.253.71.73,6,8352
17.253.71.125,6,8352
17.253.69.200,107,8346
104.18.23.232,129,8342
fe80::1439:fb62:b039:ea75,70,8045
17.253.71.142,101,7878
17.253.69.198,101,7862
17.253.71.143,100,7800
18.178.233.21,99,7766
ff02::1:ffcb:ffc0,90,7740
172.224.180.132,13,7584
17.253.71.140,92,7176
17.253.71.151,92,7176
103.86.99.108,85,6984
17.42.251.72,91,6970
17.42.251.69,91,6970
17.253.60.161,5,6960
17.253.60.141,5,6960
52.220.188.161,91,6938
17.111.103.83,89,6814
17.253.69.197,87,6786
147.92.191.146,23,6741
17.253.71.132,85,6614
104.16.160.145,19,6490
103.86.96.108,78,6400
23.62.20.90,20,6314
17.253.71.152,80,6240
216.239.32.29,80,6240
142.250.196.131,80,6240
17.248.167.91,11,6114
17.248.167.104,11,6114
142.250.207.3,18,6060
182.248.170.225,78,5956
224.0.0.2,99,5940
17.253.71.137,76,5928
173.194.174.108,77,5894
173.194.174.109,77,5894
17.138.222.129,75,5850
17.253.71.139,75,5850
17.57.145.54,23,5750
23.192.46.178,71,5538
17.248.225.66,68,5288
fe80::cfe:9ed9:2b4e:2a6c,50,5266
17.253.71.145,65,5070
52.220.229.102,66,5052
fe80::42c:1442:3878:7cc7,47,5006
17.188.179.2,61,4758
17.188.143.187,61,4758
fe80::187b:419a:d069:4877,41,4727
17.188.178.226,57,4446
17.57.152.35,58,4412
216.58.220.110,11,4410
23.192.46.138,56,4368
17.188.182.68,55,4290
17.57.145.139,54,4212
17.57.145.140,54,4212
17.253.71.146,54,4212
17.57.12.145,53,4134
17.57.145.136,53,4134
17.188.168.161,53,4134
10.4.128.220,7,4130
17.188.179.34,52,4056
17.188.143.158,51,3978
17.171.47.23,52,3976
17.56.12.41,50,3900
17.253.71.144,49,3822
17.57.145.135,47,3666
17.188.143.125,46,3588
17.253.71.148,46,3588
17.57.145.138,46,3588
17.57.152.32,47,3570
17.188.143.189,45,3510
17.188.171.138,45,3510
17.188.172.74,45,3510
17.188.143.157,44,3432
17.188.172.72,44,3432
17.8.138.9,45,3430
17.188.171.74,43,3354
17.188.143.126,42,3276
17.57.145.152,41,3268
17.188.172.10,41,3198
17.253.71.134,39,3042
17.145.53.1,39,3042
17.253.71.138,39,3042
17.145.0.2,38,2964
17.57.145.137,38,2964
172.224.110.14,4,2940
fe80::18d5:1120:a5f0:a50c,28,2912
17.188.182.132,37,2886
17.188.182.4,37,2886
17.188.183.4,37,2886
17.188.182.196,37,2886
23.208.236.42,37,2886
17.138.222.1,37,2886
17.57.145.133,36,2808
17.188.171.202,36,2808
192.168.100.107,12,2756
17.188.178.2,35,2730
192.168.100.112,10,2728
71.18.252.203,12,2728
192.168.100.106,10,2672
192.168.100.108,9,2630
192.168.100.109,10,2616
17.253.71.199,33,2574
192.168.100.110,9,2574
57.182.229.142,32,2480
192.168.100.105,8,2476
192.168.100.103,7,2434
192.168.100.104,6,2392
192.168.100.101,6,2392
192.168.100.102,17,2384
192.168.100.111,17,2384
23.204.139.206,30,2340
23.204.139.199,30,2340
17.253.71.196,30,2340
44.227.190.208,31,2294
17.253.71.197,29,2262
ff02::1:ffc5:fcc,26,2236
192.168.159.255,9,2235
