source,dest,packets,traffic_in_bytes
192.168.129.212,172.224.110.4,132,73368
192.168.129.40,172.224.180.135,131,73290
192.168.130.192,17.248.225.14,940,73272
192.168.129.69,192.168.63.253,940,73098
192.168.129.173,172.224.110.13,125,72822
192.168.129.173,172.224.180.135,125,72822
192.168.129.173,172.224.180.7,125,72822
192.168.131.16,172.224.110.18,139,72600
192.168.131.16,17.248.167.107,115,72042
192.168.128.72,172.224.110.16,130,71898
192.168.130.208,17.248.167.68,129,71820
192.168.131.16,17.248.167.59,126,71586
192.168.129.88,172.224.110.19,51,70992
192.168.129.88,172.224.180.136,51,70992
192.168.130.44,8.8.8.8,906,70412
192.168.63.253,192.168.131.132,264,70221
192.168.130.44,8.8.4.4,902,70100
192.168.129.173,172.224.110.10,118,69648
192.168.130.208,17.248.167.102,130,69270
192.168.130.224,17.248.167.53,125,68880
192.168.129.88,192.168.63.253,878,68600
192.168.131.16,192.168.63.253,858,68424
192.168.131.16,17.248.167.68,131,68034
192.168.129.212,172.224.111.9,128,67800
192.168.130.44,172.224.110.4,109,67632
192.168.130.224,17.248.167.102,124,67488
192.168.130.44,17.248.167.38,124,67488
192.168.128.72,172.224.180.138,121,67254
192.168.129.173,172.224.111.14,120,67176
192.168.33.184,17.248.167.70,116,66864
192.168.129.212,172.224.111.14,115,66786
192.168.131.16,17.248.167.75,114,66708
192.168.129.173,172.224.110.19,114,66708
192.168.128.72,172.224.180.6,120,65862
151.101.67.6,192.168.33.115,86,65785
192.168.130.224,17.248.167.58,118,65706
192.168.129.173,74.125.203.109,858,65676
192.168.129.173,74.125.203.108,858,65676
192.168.129.88,172.224.111.13,47,65424
192.168.131.132,17.248.167.68,114,65394
192.168.33.247,17.248.167.91,105,64612
192.168.129.212,172.224.180.7,107,63534
192.168.33.184,17.248.167.86,105,63378
192.168.131.16,17.248.167.69,134,63012
192.168.130.116,172.224.180.4,117,63000
192.168.128.52,151.101.131.6,127,62286
192.168.129.180,151.101.67.6,141,62214
192.168.129.180,151.101.131.6,141,62214
192.168.128.52,151.101.67.6,126,62208
192.168.128.52,151.101.195.6,126,62208
192.168.129.180,151.101.195.6,140,62136
192.168.131.16,172.224.111.10,104,61986
192.168.129.40,151.101.3.6,145,61974
192.168.129.173,172.224.110.4,117,61686
192.168.129.173,172.224.180.3,117,61686
192.168.129.173,172.224.180.8,117,61686
192.168.33.115,17.248.225.14,790,61620
192.168.130.116,172.224.180.9,115,61530
192.168.131.16,17.248.167.85,129,61308
192.168.129.173,142.251.170.109,801,61230
192.168.129.180,192.168.63.253,720,61146
192.168.129.40,17.248.167.59,110,61140
192.168.129.40,172.224.110.17,110,61140
192.168.129.40,172.224.110.11,110,61140
192.168.130.208,17.248.167.91,110,61140
192.168.130.44,17.248.167.42,93,61128
192.168.129.180,151.101.3.6,140,60972
192.168.128.52,151.101.3.6,125,60966
192.168.129.173,142.251.170.108,794,60684
192.168.130.196,192.168.63.253,762,60272
192.168.131.16,17.248.167.90,132,60228
192.168.130.208,17.248.167.70,114,60138
192.168.129.69,172.224.111.9,43,59856
151.101.3.6,192.168.33.115,77,59744
192.168.129.212,172.224.180.131,108,59670
192.168.131.132,17.248.167.56,108,59670
192.168.130.224,17.248.167.59,105,59436
192.168.130.44,172.224.110.16,114,58824
192.168.130.208,17.248.167.105,113,58746
192.168.130.224,17.248.167.37,113,58746
192.168.129.69,172.224.111.11,42,58464
192.168.131.192,192.168.63.253,734,57288
192.168.129.212,172.224.180.137,94,57264
192.168.130.44,172.224.110.10,110,57198
192.168.129.212,172.224.180.6,109,57120
192.168.129.88,172.224.110.13,41,57072
192.168.129.69,172.224.111.4,41,57072
192.168.130.44,172.224.180.136,124,56976
192.168.130.44,17.248.167.101,100,56418
192.168.128.52,17.248.167.85,100,56418
8.8.8.8,192.168.33.115,81,56251
8.8.4.4,192.168.33.115,80,56183
192.168.129.69,172.224.111.8,40,55680
192.168.129.88,172.224.180.134,40,55680
192.168.129.88,172.224.110.10,40,55680
192.168.131.192,17.248.225.29,713,55614
192.168.128.72,172.224.110.20,106,55572
192.168.130.224,17.248.167.89,106,55572
192.168.131.192,17.248.225.14,712,55536
192.168.130.116,172.224.110.4,105,55494
192.168.130.224,172.224.180.133,100,55104
192.168.128.72,172.224.111.9,99,55026
192.168.131.16,172.224.110.6,99,55026
192.168.129.40,17.248.167.43,99,55026
192.168.129.40,17.248.167.74,99,55026
192.168.129.40,17.248.167.73,99,55026
192.168.129.212,172.224.111.12,98,54948
192.168.130.224,172.224.110.10,98,54948
192.168.131.16,172.224.110.5,98,54948
192.168.130.224,17.248.167.43,98,54948
192.168.130.208,17.248.167.90,106,54258
192.168.130.104,17.248.225.44,113,54211
192.168.129.212,172.224.110.20,104,54102
192.168.130.224,17.248.167.88,102,53946
192.168.128.52,17.248.167.56,100,53790
192.168.131.16,172.224.110.16,98,53634
192.168.129.212,172.224.180.132,97,53556
192.168.130.44,17.248.167.104,97,53556
192.168.130.208,17.248.167.59,95,53400
192.168.130.208,17.248.167.69,106,52944
192.168.130.224,17.248.167.70,106,52944
192.168.129.88,172.224.110.15,38,52896
192.168.129.88,172.224.180.132,38,52896
192.168.129.69,172.224.111.15,38,52896
192.168.131.16,17.248.225.29,678,52884
192.168.130.116,172.224.180.8,105,52866
192.168.131.132,17.248.167.58,87,52776
192.168.130.44,172.224.180.10,101,52554
192.168.130.224,17.248.167.55,97,52242
192.168.130.224,17.248.167.41,97,52242
192.168.129.40,17.248.167.56,92,51852
192.168.33.184,17.248.167.88,90,51696
192.168.129.173,17.248.225.64,662,51636
192.168.129.180,17.248.225.44,660,51432
192.168.130.44,172.224.110.14,103,51396
192.168.129.212,17.248.225.14,654,51012
192.168.131.16,17.248.167.89,98,51006
192.168.130.44,172.224.111.15,80,50916
192.168.130.44,172.224.111.4,80,50916
192.168.128.52,17.248.167.68,93,50616
192.168.130.44,17.248.225.44,649,50606
192.168.33.115,17.248.225.68,648,50544
8.8.4.4,192.168.130.104,75,50416
fe80::89b:5560:4689:df8a,ff02::fb,183,50009
192.168.128.72,172.224.111.13,100,49848
192.168.131.192,17.248.225.44,636,49608
192.168.128.72,172.224.110.18,95,49458
192.168.130.208,17.248.167.58,95,49458
192.168.128.72,172.224.180.4,95,49458
192.168.129.40,17.248.167.85,94,49380
192.168.33.120,17.248.225.68,633,49374
192.168.130.208,17.248.167.39,93,49302
192.168.33.115,23.217.68.33,319,49208
192.168.130.224,17.248.167.105,91,49146
192.168.129.40,17.248.167.40,88,48912
192.168.129.212,172.224.111.4,88,48912
192.168.128.72,172.224.110.7,88,48912
192.168.129.40,172.224.111.11,88,48912
192.168.129.40,172.224.180.5,88,48912
192.168.129.40,172.224.110.14,88,48912
192.168.129.40,172.224.111.9,88,48912
192.168.129.40,172.224.111.14,88,48912
192.168.131.16,172.224.111.12,88,48912
192.168.131.16,172.224.180.135,88,48912
192.168.128.72,172.224.110.9,88,48912
192.168.128.72,172.224.110.8,88,48912
192.168.129.40,17.248.167.41,88,48912
192.168.129.40,17.248.167.105,87,48834
192.168.130.224,17.248.167.86,86,48756
192.168.129.40,17.248.167.86,86,48756
192.168.129.69,172.224.110.7,35,48720
192.168.129.88,172.224.111.9,35,48720
192.168.131.16,172.224.111.14,100,48534
192.168.33.184,17.248.167.89,81,48366
192.168.128.72,172.224.180.7,81,48366
192.168.129.173,172.224.180.138,81,48366
192.168.129.173,172.224.110.8,81,48366
192.168.129.212,17.248.225.44,620,48360
192.168.130.224,17.248.167.90,93,47988
192.168.130.44,172.224.110.11,92,47910
192.168.131.172,192.168.63.253,602,47814
192.168.131.16,17.248.225.44,613,47814
192.168.130.224,172.224.110.9,89,47676
192.168.129.180,17.248.225.14,611,47610
192.168.128.72,172.224.110.13,87,47520
192.168.130.224,17.248.167.52,86,47442
192.168.130.208,17.248.167.56,86,47442
192.168.130.44,17.248.225.29,608,47408
192.168.34.56,17.248.167.40,85,47364
192.168.131.16,172.224.110.19,85,47364
192.168.130.44,172.224.180.137,99,47142
192.168.33.184,17.248.167.107,79,46896
192.168.33.120,17.248.225.67,598,46644
23.217.68.33,192.168.33.184,44,46321
192.168.128.52,17.248.167.107,87,46206
192.168.131.132,17.248.167.40,86,46128
192.168.129.173,17.248.225.67,591,46098
192.168.128.52,17.248.167.89,84,45972
192.168.131.16,17.248.167.53,66,45882
192.168.128.72,17.248.225.29,588,45848
142.250.194.106,192.168.129.124,68,45582
192.168.33.184,17.248.167.91,78,45504
192.168.130.224,17.248.167.56,78,45504
192.168.33.184,17.57.145.133,46,45129
192.168.33.247,17.248.167.107,72,44988
192.168.129.180,17.248.225.29,576,44880
192.168.129.40,17.248.167.42,86,44814
192.168.131.132,17.248.167.102,85,44736
192.168.131.132,17.248.167.105,85,44736
192.168.129.173,17.248.225.65,573,44694
192.168.130.224,17.248.167.38,84,44658
192.168.129.88,172.224.110.18,32,44544
192.168.33.120,17.248.225.64,568,44304
192.168.33.115,17.248.225.70,566,44148
192.168.129.173,31.13.82.174,88,44112
192.168.130.208,17.248.167.107,77,44112
192.168.129.180,17.248.225.64,562,43836
192.168.129.40,17.248.167.106,89,43734
192.168.129.212,172.224.180.4,72,43722
192.168.131.16,172.224.180.136,71,43644
192.168.131.16,17.248.167.74,71,43644
192.168.33.184,17.248.167.72,68,43410
192.168.128.72,17.248.225.44,556,43352
192.168.129.40,17.248.167.87,83,43266
192.168.130.44,172.224.180.4,66,43254
192.168.131.16,172.224.111.16,64,43098
192.168.129.173,17.248.167.58,80,43032
192.168.129.40,17.248.167.101,79,42954
192.168.33.184,224.0.0.251,181,42908
192.168.128.52,17.248.167.40,77,42798
192.168.131.132,17.248.167.90,77,42798
192.168.130.208,17.248.167.85,77,42798
192.168.131.16,172.224.110.17,77,42798
192.168.128.72,172.224.111.5,77,42798
192.168.131.16,172.224.110.12,77,42798
192.168.131.16,172.224.111.5,77,42798
192.168.129.212,172.224.180.135,76,42720
192.168.129.212,172.224.110.17,76,42720
192.168.128.72,172.224.180.132,76,42720
192.168.130.44,172.224.111.13,73,42486
192.168.129.124,147.92.191.21,54,42440
192.168.130.196,172.64.69.66,60,42252
192.168.33.184,17.248.167.53,70,42252
192.168.33.184,17.248.167.42,70,42252
192.168.33.184,17.248.167.56,70,42252
192.168.130.196,162.159.194.66,59,42210
192.168.130.196,162.159.196.66,59,42210
192.168.131.16,172.224.110.20,69,42174
192.168.130.196,172.64.68.66,58,42168
192.168.63.253,192.168.128.160,378,42052
192.168.129.40,17.248.167.89,84,42030
192.168.129.69,172.224.180.4,30,41760
192.168.129.69,172.224.111.10,30,41760
192.168.33.115,17.248.225.69,531,41418
192.168.131.132,17.248.167.53,75,41328
192.168.129.212,172.224.110.18,75,41328
192.168.129.173,17.248.167.53,74,41250
192.168.34.56,17.248.167.59,72,41094
192.168.130.192,17.248.225.66,524,40872
192.168.131.16,172.224.110.14,86,40872
192.168.128.160,192.168.63.253,532,40710
192.168.129.173,17.248.167.73,67,40704
192.168.129.173,17.248.167.74,67,40704
192.168.129.69,172.224.111.6,29,40368
192.168.130.192,17.248.225.69,514,40092
192.168.128.52,17.248.167.43,76,40092
192.168.128.52,17.248.167.87,73,39858
192.168.131.172,17.248.225.29,511,39842
192.168.128.72,151.101.3.6,78,39840
192.168.131.172,17.248.225.44,510,39764
192.168.130.208,17.248.167.52,71,39702
192.168.128.52,17.248.167.102,71,39702
192.168.34.56,17.248.167.88,70,39624
192.168.34.56,17.248.167.105,70,39624
192.168.34.56,17.248.167.70,70,39624
192.168.34.56,17.248.167.68,69,39546
192.168.128.52,17.248.167.54,68,39468
192.168.33.184,17.248.167.90,66,39312
192.168.130.196,65.1.18.34,79,39174
192.168.130.238,17.156.192.7,500,39000
192.168.130.238,17.56.9.32,500,39000
192.168.129.88,172.224.111.11,28,38976
192.168.129.88,172.224.110.9,28,38976
192.168.129.69,172.224.111.14,28,38976
192.168.131.16,17.248.167.40,61,38922
192.168.128.72,151.101.195.6,79,38754
192.168.128.72,151.101.67.6,78,38676
192.168.130.224,17.248.167.36,74,38622
192.168.131.132,17.248.167.54,74,38622
192.168.128.72,151.101.131.6,77,38598
192.168.129.212,17.248.225.29,494,38532
192.168.131.16,17.248.167.43,68,38154
192.168.131.16,17.248.167.52,68,38154
