dest,packets,traffic_in_bytes
108.138.246.16,11,7202
23.62.20.114,68,7134
34.111.57.229,36,7129
142.251.42.174,25,7024
17.138.232.1,90,7020
103.86.99.108,85,6984
17.253.60.161,5,6960
17.253.60.141,5,6960
35.73.249.68,23,6928
104.17.111.223,30,6922
142.250.77.174,14,6912
157.240.31.35,14,6912
74.125.23.156,18,6902
17.56.12.226,88,6864
151.101.129.91,30,6829
17.111.103.83,89,6814
74.125.23.113,10,6789
52.220.229.102,88,6736
108.139.10.62,15,6691
202.233.84.8,27,6679
17.56.12.41,85,6630
18.142.188.29,21,6610
180.222.119.247,27,6482
65.8.180.2,58,6436
103.86.96.108,78,6400
23.35.101.101,27,6353
13.107.226.46,24,6326
17.253.71.196,81,6318
151.101.193.44,26,6306
17.253.71.199,80,6240
13.107.253.46,20,6238
17.145.53.1,79,6162
17.57.145.154,79,6162
57.182.237.220,54,6091
207.65.34.77,18,6090
17.253.68.241,78,6084
17.57.12.16,78,6084
17.57.12.243,78,6084
3.115.252.22,78,6036
23.217.70.135,77,6006
3.232.87.98,77,6006
23.35.100.161,18,5967
17.253.71.197,76,5928
124.146.153.151,15,5922
18.178.165.190,20,5921
23.52.128.159,23,5918
23.106.127.170,21,5905
54.65.189.210,20,5903
43.206.20.122,20,5894
173.194.174.108,77,5894
173.194.174.109,77,5894
35.201.98.24,18,5889
23.51.163.113,20,5888
52.193.220.118,19,5882
180.210.70.11,22,5773
17.253.68.125,64,5760
34.111.113.62,18,5738
182.22.25.252,23,5726
124.146.153.164,14,5698
172.217.174.97,12,5654
34.98.64.218,19,5645
17.57.12.242,72,5616
185.84.60.20,21,5613
34.36.131.60,18,5606
23.34.99.220,71,5538
178.249.213.26,15,5498
216.239.38.21,19,5476
124.83.185.124,19,5463
52.198.196.19,43,5439
34.36.216.150,17,5419
18.177.227.174,16,5415
54.84.121.57,69,5382
104.18.38.233,36,5368
17.253.71.198,68,5304
107.22.216.103,68,5304
18.173.117.231,17,5261
151.101.66.132,14,5162
3.169.182.161,15,5105
17.253.68.251,56,5040
35.212.103.4,28,5026
17.36.206.8,63,4914
17.253.75.140,62,4772
23.204.139.206,60,4680
23.204.139.199,60,4680
17.57.12.145,60,4680
17.253.71.195,60,4680
17.33.203.39,60,4664
17.253.75.143,59,4554
35.212.40.129,16,4488
216.58.220.110,11,4410
17.57.12.11,56,4368
98.88.138.249,56,4368
3.209.30.114,56,4368
104.16.160.145,12,4346
182.161.74.17,24,4304
17.8.138.9,56,4272
192.168.131.164,13,4140
